Epoch 1/100 (1.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 156433ms
Epoch 56/100 (56.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 163293ms
Epoch 57/100 (57.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 166147ms
Epoch 58/100 (58.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 163955ms
Epoch 59/100 (59.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 165122ms
Epoch 60/100 (60.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 167547ms
Epoch 61/100 (61.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 165782ms
Epoch 62/100 (62.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 160566ms
Epoch 63/100 (63.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 160150ms
Epoch 64/100 (64.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 165273ms
Epoch 65/100 (65.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 161861ms
Epoch 66/100 (66.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 164859ms
Epoch 67/100 (67.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 160235ms
Epoch 68/100 (68.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 149436ms
Epoch 69/100 (69.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 151070ms
Epoch 70/100 (70.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 150998ms
Epoch 71/100 (71.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 145810ms
Epoch 72/100 (72.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 147204ms
Epoch 73/100 (73.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 160908ms
Epoch 74/100 (74.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 156375ms
Epoch 75/100 (75.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 170519ms
Epoch 76/100 (76.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 140746ms
Epoch 77/100 (77.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 144992ms
Epoch 78/100 (78.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 145316ms
Epoch 79/100 (79.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 136447ms
Epoch 80/100 (80.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 71764815ms
Epoch 81/100 (81.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 138026ms
Epoch 82/100 (82.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 131708ms
Epoch 83/100 (83.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 133110ms
Epoch 84/100 (84.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 131236ms
Epoch 85/100 (85.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 131410ms
Epoch 86/100 (86.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 131531ms
Epoch 87/100 (87.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 132678ms
Epoch 88/100 (88.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 130639ms
Epoch 89/100 (89.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 131316ms
Epoch 90/100 (90.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 134152ms
Epoch 91/100 (91.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 130998ms
Epoch 92/100 (92.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 131353ms
Epoch 93/100 (93.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 131105ms
Epoch 94/100 (94.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 137791ms
Epoch 95/100 (95.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 152060ms
Epoch 96/100 (96.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 157323ms
Epoch 97/100 (97.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 143817ms
Epoch 98/100 (98.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 138784ms
Epoch 99/100 (99.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 147400ms
Epoch 100/100 (100.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 133295ms
